Grid mode: 250 periods in [0.1, 200] yr, 5 Iterations each, Mass Constrain = True
Total Mass Fractional Acceptance = 0.3, Best Cost Accept Factor = 1.5
  [75/250] P =    59.51 yr, a" = 7.639  e = 0.523, M = 2.314 Msun  cost = 0.00015086623093872684
  [76/250] P =    60.31 yr, a" = 7.665  e = 0.519, M = 2.276 Msun  cost = 0.00015601382388879205
  [77/250] P =    61.11 yr, a" = 7.693  e = 0.515, M = 2.241 Msun  cost = 0.00016141391613678496
  [78/250] P =    61.92 yr, a" = 7.722  e = 0.512, M = 2.208 Msun  cost = 0.00016704355657281742
  [79/250] P =    62.72 yr, a" = 7.752  e = 0.509, M = 2.177 Msun  cost = 0.00017288162588394607
  [80/250] P =    63.52 yr, a" = 7.784  e = 0.506, M = 2.149 Msun  cost = 0.00017890867827957633
  [81/250] P =    64.32 yr, a" = 7.816  e = 0.503, M = 2.122 Msun  cost = 0.00018510679842785116
  [82/250] P =    65.13 yr, a" = 7.826  e = 0.528, M = 2.077 Msun  cost = 0.000402969032657943
  [83/250] P =    65.93 yr, a" = 7.885  e = 0.498, M = 2.073 Msun  cost = 0.00019795146812957466
  [84/250] P =    66.73 yr, a" = 7.921  e = 0.496, M = 2.051 Msun  cost = 0.00020456873330188164
  [85/250] P =    67.54 yr, a" = 7.957  e = 0.494, M = 2.031 Msun  cost = 0.00021129829430418723
  [86/250] P =    68.34 yr, a" = 7.995  e = 0.492, M = 2.011 Msun  cost = 0.0002181281703876672
  [87/250] P =    69.14 yr, a" = 8.033  e = 0.491, M = 1.993 Msun  cost = 0.0002250472933657877
  [88/250] P =    69.94 yr, a" = 8.072  e = 0.489, M = 1.976 Msun  cost = 0.00023204543459096248
  [89/250] P =    70.75 yr, a" = 8.111  e = 0.488, M = 1.960 Msun  cost = 0.0002391131379465591
  [90/250] P =    71.55 yr, a" = 8.151  e = 0.486, M = 1.945 Msun  cost = 0.0002462416603913718
  [91/250] P =    72.35 yr, a" = 8.192  e = 0.485, M = 1.931 Msun  cost = 0.00025342291509070487
  [92/250] P =    73.16 yr, a" = 8.233  e = 0.484, M = 1.917 Msun  cost = 0.00026064942138178494
  [93/250] P =    73.96 yr, a" = 8.275  e = 0.483, M = 1.904 Msun  cost = 0.00026791425813924296
  [94/250] P =    74.76 yr, a" = 8.317  e = 0.483, M = 1.892 Msun  cost = 0.0002752110211659954
  [95/250] P =    75.56 yr, a" = 8.360  e = 0.482, M = 1.881 Msun  cost = 0.0002825337842297403
  [96/250] P =    76.37 yr, a" = 8.403  e = 0.482, M = 1.870 Msun  cost = 0.0002898770631363374
  [97/250] P =    77.17 yr, a" = 8.447  e = 0.481, M = 1.860 Msun  cost = 0.00029723578300488535
  [98/250] P =    77.97 yr, a" = 8.490  e = 0.481, M = 1.851 Msun  cost = 0.00030460524726450244
  [99/250] P =    78.78 yr, a" = 8.535  e = 0.480, M = 1.842 Msun  cost = 0.000311981111263976
  [100/250] P =    79.58 yr, a" = 8.579  e = 0.480, M = 1.833 Msun  cost = 0.00031935935520011765
  [101/250] P =    80.38 yr, a" = 8.797  e = 0.657, M = 1.937 Msun  cost = 0.020035012214070173
  [102/250] P =    81.18 yr, a" = 8.669  e = 0.480, M = 1.817 Msun  cost = 0.0003341083915321646
  [103/250] P =    81.99 yr, a" = 8.714  e = 0.480, M = 1.810 Msun  cost = 0.00034147256917558205
  [104/250] P =    82.79 yr, a" = 8.759  e = 0.480, M = 1.803 Msun  cost = 0.00034882585502591366
  [105/250] P =    83.59 yr, a" = 8.805  e = 0.481, M = 1.796 Msun  cost = 0.00035616553963744083
  [106/250] P =    84.40 yr, a" = 8.851  e = 0.481, M = 1.789 Msun  cost = 0.00036348911842969475
  [107/250] P =    85.20 yr, a" = 8.897  e = 0.481, M = 1.783 Msun  cost = 0.00037079428154627574
  [108/250] P =    86.00 yr, a" = 8.943  e = 0.482, M = 1.778 Msun  cost = 0.00037807889934750506
  [109/250] P =    86.80 yr, a" = 8.989  e = 0.482, M = 1.772 Msun  cost = 0.00038534100997480883
  [110/250] P =    87.61 yr, a" = 9.035  e = 0.482, M = 1.767 Msun  cost = 0.0003925788076097531
  [111/250] P =    88.41 yr, a" = 9.082  e = 0.483, M = 1.762 Msun  cost = 0.0003997906317683612
  [112/250] P =    89.21 yr, a" = 9.128  e = 0.484, M = 1.757 Msun  cost = 0.00040697495720695134
  [113/250] P =    90.01 yr, a" = 9.175  e = 0.484, M = 1.752 Msun  cost = 0.00041413038482120503
  [114/250] P =    90.82 yr, a" = 8.832  e = 0.613, M = 1.536 Msun  cost = 0.006757117131284417
