Grid mode: 5000 periods in [0.1, 120] yr, 10 Iterations each, Mass Constrain = False
Total Mass Fractional Acceptance = 0.1, Best Cost Accept Factor = 1.5
Primary Star (m1) Mass Guess: None MSol, Secondary Star (m2) Mass Guess: None MSol
  [173/5000] P =     4.23 yr, a = 33.327"  e = 0.999, M = 132748.104 Msun  cost = 10.835944382750606
  [174/5000] P =     4.25 yr, a = 34.181"  e = 0.999, M = 141598.306 Msun  cost = 10.63943395453818
  [175/5000] P =     4.27 yr, a = 35.058"  e = 0.999, M = 151064.926 Msun  cost = 10.494890801028538
  [176/5000] P =     4.30 yr, a = 31.500"  e = 0.999, M = 108369.106 Msun  cost = 10.459798115318407
  [177/5000] P =     4.32 yr, a = 9.707"  e = 0.986, M = 3136.397 Msun  cost = 10.931608556663964
  [178/5000] P =     4.35 yr, a = 5.422"  e = 0.981, M = 540.399 Msun  cost = 12.888952421180182
  [179/5000] P =     4.37 yr, a = 4.396"  e = 0.968, M = 284.970 Msun  cost = 12.407697064094892
  [180/5000] P =     4.39 yr, a = 2.596"  e = 0.901, M = 58.042 Msun  cost = 12.373803851912317
  [181/5000] P =     4.42 yr, a = 5.447"  e = 0.977, M = 530.373 Msun  cost = 12.170715102710174
  [182/5000] P =     4.44 yr, a = 5.167"  e = 0.973, M = 447.813 Msun  cost = 12.160972989799838
  [183/5000] P =     4.47 yr, a = 16.363"  e = 0.997, M = 14069.822 Msun  cost = 12.093455006909222
  [184/5000] P =     4.49 yr, a = 2.625"  e = 0.847, M = 57.447 Msun  cost = 11.925960900266844
  [185/5000] P =     4.51 yr, a = 23.306"  e = 0.997, M = 39789.454 Msun  cost = 10.135566102767092
  [186/5000] P =     4.54 yr, a = 40.330"  e = 0.999, M = 204022.399 Msun  cost = 9.867901648176067
  [187/5000] P =     4.56 yr, a = 39.100"  e = 0.999, M = 183964.309 Msun  cost = 9.903873972802982
  [188/5000] P =     4.59 yr, a = 37.977"  e = 0.999, M = 166803.860 Msun  cost = 10.018005986974286
  [189/5000] P =     4.61 yr, a = 36.960"  e = 0.999, M = 152161.472 Msun  cost = 10.164819646375161
  [190/5000] P =     4.63 yr, a = 36.028"  e = 0.999, M = 139480.202 Msun  cost = 10.32730308663543
  [191/5000] P =     4.66 yr, a = 35.162"  e = 0.999, M = 128330.999 Msun  cost = 10.497510680501495
  [192/5000] P =     4.68 yr, a = 34.348"  e = 0.999, M = 118400.420 Msun  cost = 10.671177164156527
  [193/5000] P =     4.71 yr, a = 33.575"  e = 0.999, M = 109462.057 Msun  cost = 10.845766646133061
  [194/5000] P =     4.73 yr, a = 32.835"  e = 0.999, M = 101351.814 Msun  cost = 11.019641651915135
  [195/5000] P =     4.75 yr, a = 32.122"  e = 0.999, M = 93933.142 Msun  cost = 11.191667682322123
  [196/5000] P =     4.78 yr, a = 29.634"  e = 0.999, M = 73017.766 Msun  cost = 11.361158896015018
  [197/5000] P =     4.80 yr, a = 22.123"  e = 0.998, M = 30073.983 Msun  cost = 11.528082245701388
  [198/5000] P =     4.83 yr, a = 18.679"  e = 0.997, M = 17922.295 Msun  cost = 11.69089448538077
  [199/5000] P =     4.85 yr, a = 25.370"  e = 0.999, M = 44466.851 Msun  cost = 11.847354977556767
  [200/5000] P =     4.87 yr, a = 19.479"  e = 0.998, M = 19927.578 Msun  cost = 12.001300156222065
  [201/5000] P =     4.90 yr, a = 20.124"  e = 0.998, M = 21759.535 Msun  cost = 12.149138278878244
