Grid mode: 1000 periods in [0.1, 120] yr, 10 Iterations each, Mass Constrain = False
Total Mass Fractional Acceptance = 0.1, Best Cost Accept Factor = 1.5
Primary Star (m1) Mass Guess: None MSol, Secondary Star (m2) Mass Guess: None MSol
  [160/1000] P =    19.18 yr, a = 54.506"  e = 0.999, M = 8089.258 Msun  cost = 74.61388420128365
  [161/1000] P =    19.30 yr, a = 53.286"  e = 0.999, M = 7464.621 Msun  cost = 73.2802325136385
  [162/1000] P =    19.42 yr, a = 52.067"  e = 0.999, M = 6877.999 Msun  cost = 71.94465779431647
  [163/1000] P =    19.54 yr, a = 50.905"  e = 0.999, M = 6349.056 Msun  cost = 70.60658290457414
  [164/1000] P =    19.66 yr, a = 49.557"  e = 0.999, M = 5786.648 Msun  cost = 69.27267363368685
  [165/1000] P =    19.78 yr, a = 49.147"  e = 0.999, M = 5575.820 Msun  cost = 67.93754600840488
  [166/1000] P =    19.90 yr, a = 48.755"  e = 0.999, M = 5378.053 Msun  cost = 66.64705182591479
  [167/1000] P =    20.02 yr, a = 48.583"  e = 0.999, M = 5257.722 Msun  cost = 65.45153411416665
  [168/1000] P =    20.14 yr, a = 48.586"  e = 0.999, M = 5196.247 Msun  cost = 64.39247922038173
  [169/1000] P =    20.26 yr, a = 62.116"  e = 0.999, M = 10730.339 Msun  cost = 94.03521023161117
  [170/1000] P =    20.38 yr, a = 49.327"  e = 0.999, M = 5310.271 Msun  cost = 62.70963276182309
  [171/1000] P =    20.50 yr, a = 50.094"  e = 0.999, M = 5497.180 Msun  cost = 62.07359649535012
  [172/1000] P =    20.62 yr, a = 51.112"  e = 0.999, M = 5771.172 Msun  cost = 61.56497899584991
  [173/1000] P =    20.74 yr, a = 52.355"  e = 0.999, M = 6131.195 Msun  cost = 61.1786858479068
  [174/1000] P =    20.86 yr, a = 53.800"  e = 0.999, M = 6576.403 Msun  cost = 60.91170474027428
  [175/1000] P =    20.98 yr, a = 55.405"  e = 0.999, M = 7101.013 Msun  cost = 60.76312235045947
  [176/1000] P =    21.10 yr, a = 57.206"  e = 0.999, M = 7727.631 Msun  cost = 60.73415767102585
  [177/1000] P =    21.22 yr, a = 59.173"  e = 0.999, M = 8455.746 Msun  cost = 60.82787881561415
  [178/1000] P =    21.34 yr, a = 54.596"  e = 0.999, M = 6567.016 Msun  cost = 61.0798609514011
  [179/1000] P =    21.46 yr, a = 30.681"  e = 0.996, M = 1152.445 Msun  cost = 61.81539901893118
  [180/1000] P =    21.58 yr, a = 6.349"  e = 0.963, M = 10.101 Msun  cost = 79.88643394200297
  [181/1000] P =    21.70 yr, a = 6.261"  e = 0.982, M = 9.577 Msun  cost = 80.4843168926356
  [182/1000] P =    21.82 yr, a = 13.084"  e = 0.970, M = 86.460 Msun  cost = 68.17420018684682
  [183/1000] P =    21.94 yr, a = 41.708"  e = 0.997, M = 2770.013 Msun  cost = 64.82989643429954
  [184/1000] P =    22.06 yr, a = 14.166"  e = 0.972, M = 107.352 Msun  cost = 71.33207502648314
